time,lat,lon,depth,east_shift,north_shift,distance_border,semblance,azimuthal_coverage,n_stations,n_picks,uncertainty_horizontal,uncertainty_vertical,WKT_geom
2024-06-01 13:55:56.790000+00:00,49.82072,12.010267,2040.3,-24372.89,-44342.47,5656.25,0.2122489959001541,128.79305874476086,26,4,44.19417382415922,1968.75,POINT Z(12.010266690015712 49.82072018371294 -2040.2999329447023)
2024-06-01 14:10:18.410000+00:00,50.360562,12.491417,4956.83,10031.75,15639.35,15031.25,0.40520092844963074,115.03849416001805,26,11,44.19417382415922,781.25,POINT Z(12.491417150075213 50.360562399059944 -4956.8261028133675)
2024-06-01 14:10:40.670000+00:00,50.359121,12.491377,4110.02,10029.18,15479.07,15906.25,0.5465440154075623,180.17847898055095,26,14,88.38834764831844,750.0,POINT Z(12.491376603836109 50.359121075536386 -4110.023115482252)
2024-06-01 14:12:41.630000+00:00,50.369218,12.47119,6330.0,8595.32,16599.3,13656.25,0.2890997529029846,187.15871644041871,26,8,3444.0278925990133,6125.0,POINT Z(12.471189880251513 50.369218251706776 -6329.995128266726)
2024-06-01 14:13:46.170000+00:00,50.366647,12.481224,6326.98,9307.51,16314.55,13656.25,0.2944328784942627,140.510792484739,26,8,2304.886114323222,6187.5,POINT Z(12.481224328175951 50.366646532406754 -6326.97634240325)
2024-06-01 14:15:36.650000+00:00,49.974129,12.096027,1490.07,-18162.47,-27308.75,18531.25,0.18815936148166656,122.73691350894111,26,4,1587.6107244850673,2937.5,POINT Z(12.096026502167804 49.97412867313854 -1490.0701018449486)
2024-06-01 14:19:12.850000+00:00,49.967133,12.088828,16.87,-18679.97,-28084.81,19281.25,0.2175949215888977,0.0,26,2,803.4350082614026,1468.75,POINT Z(12.088828072887305 49.96713334359633 -16.86854502819098)
2024-06-01 14:20:09.900000+00:00,49.820605,12.090517,9385.42,-18615.73,-44378.35,5656.25,0.27747541666030884,97.62882846184709,26,2,139.75424859373686,1125.0,POINT Z(12.090516566801048 49.82060516398084 -9385.419527392229)
2024-06-01 14:25:21.260000+00:00,49.79527,11.972303,1837.41,-27110.73,-47159.33,2843.75,0.21289370954036713,24.888991715640827,26,3,3713.362694378237,6750.0,POINT Z(11.972302645597305 49.79526961012117 -1837.4139836779239)
2024-06-01 14:28:48.640000+00:00,49.883158,12.063458,2041.33,-20530.33,-37415.68,12593.75,0.17557239532470703,67.5056816157267,26,4,475.98581911649427,4750.0,POINT Z(12.063457703817818 49.88315848161011 -2041.328725155269)
2024-06-01 14:32:17.260000+00:00,49.906109,12.046115,559.38,-21762.51,-34858.78,15156.25,0.17642296850681305,117.59929916056078,26,4,441.9417382415922,8875.0,POINT Z(12.04611528873623 49.90610922824122 -559.3768887212482)
2024-06-01 14:45:34.210000+00:00,49.969655,11.93242,12646.38,-29865.19,-27753.52,7343.75,0.1788032501935959,55.02366322175129,26,3,8360.294926017861,11937.5,POINT Z(11.932419981798375 49.96965529392211 -12646.380237350084)
2024-06-01 14:47:11.590000+00:00,49.99195,11.941716,10169.02,-29186.79,-25278.15,8781.25,0.23418773710727692,69.5800897041504,26,3,531.25,656.25,POINT Z(11.941716129853358 49.99195020158601 -10169.019426983805)
2024-06-01 14:51:16.490000+00:00,49.870546,12.145882,9921.54,-14628.63,-38837.54,10093.75,0.19583477079868317,142.39184734959616,26,6,2687.5,3000.0,POINT Z(12.145881502898808 49.870545846228616 -9921.54366768491)
2024-06-01 15:09:33.860000+00:00,50.36662,12.486274,7399.78,9665.65,16312.19,12593.75,0.44523558020591736,172.344632847289,25,11,69.87712429686843,375.0,POINT Z(12.486273571023245 50.36661958756454 -7399.7784679759625)
2024-06-01 15:18:51.400000+00:00,49.791801,11.978482,7289.46,-26669.1,-47547.24,2468.75,0.18949660658836365,0.0,26,2,9900.382726187912,3125.0,POINT Z(11.97848205185337 49.79180107824132 -7289.461924931141)
2024-06-01 15:19:41.100000+00:00,49.849283,12.067623,7755.48,-20246.09,-41183.61,8781.25,0.22813451290130615,45.509529567371885,26,4,88.38834764831844,2500.0,POINT Z(12.067623373003297 49.849282672983726 -7755.482931064684)
2024-06-01 15:39:26.550000+00:00,49.992556,12.131492,6405.25,-15620.23,-25267.71,13593.75,0.19306816160678864,181.41868050104313,26,5,3185.048076560227,1750.0,POINT Z(12.131492090564363 49.992556355879024 -6405.252007021336)
